"","UMAP1","UMAP2","gene","module","color","hub","kME"
"SSSCA1",3.86911268145283,5.65783321772143,"SSSCA1","Module4","#9b3441","other",0.0948406984046412
"FKBP2",4.9790150633498,-2.79963541116194,"FKBP2","Module2","#fe9b00","other",0.34271946973688
"UQCRH",4.82628698260029,1.69485652361437,"UQCRH","Module2","#fe9b00","other",0.615780770529747
"AGFG1",-12.0637438783006,-0.231659294027841,"AGFG1","Module3","#d8443c","other",0.0322862671253668
"STAT5B",-0.946698714192313,-4.17438542928175,"STAT5B","Module8","#633372","other",0.0845375093960641
"EIF1",5.67213077456196,6.46712934885546,"EIF1","Module4","#9b3441","other",0.507774354726231
"USMG5",5.56809253603657,7.55096208963915,"USMG5","Module4","#9b3441","other",0.493302458973135
"RBM4",1.54468865305622,3.49372732554003,"RBM4","Module10","#2b9b81","other",0.0946445578793696
"GNG5",4.79752368838032,1.73693573389574,"GNG5","Module2","#fe9b00","other",0.614374763174254
"ZDHHC24",-0.504036445315284,0.130989193063223,"ZDHHC24","Module7","#9f5691","other",0.26728325385404
"RALGAPA1",6.52915878206928,-2.9902263888307,"RALGAPA1","Module5","#de597c","other",0.32854163972443
"TMEM167A",3.80183691889484,-1.40220147456602,"TMEM167A","Module2","#fe9b00","other",0.257587121899525
"KIAA1551",-11.9828598985032,-0.339236975569284,"KIAA1551","Module3","#d8443c","other",0.0494275235143594
"BRMS1",4.81952829271992,-1.25723797168211,"BRMS1","Module2","#fe9b00","other",0.220421352752712
"RPL15",5.45461149126728,7.14703905497118,"RPL15","Module4","#9b3441","other",0.570975996088912
"NDUFA11",-2.21359305470745,4.19234383020922,"NDUFA11","Module10","#2b9b81","other",0.30136011743636
"DHX36",-0.811867822106284,-3.02522766675428,"DHX36","Module1","#f4c40f","other",0.291157597482025
"LRRC75A.AS1",-2.79885130017559,4.85900223169848,"LRRC75A.AS1","Module10","#2b9b81","other",0.574176945822531
"PACS1",-11.7386954316453,-4.96719968404249,"PACS1","Module6","#e87b89","other",0.408383376234548
"DDIT3",-0.314378220732612,3.85690605555102,"DDIT3","Module10","#2b9b81","other",0.171980088142364
"PHYKPL",1.06182689577778,0.589626072984183,"PHYKPL","Module7","#9f5691","other",0.405987159943288
"BANF1",4.95764989763935,4.00859415445849,"BANF1","Module4","#9b3441","other",0.232130864829689
"EIF3F",4.85774822146137,3.7180210343413,"EIF3F","Module2","#fe9b00","other",0.5192758262545
"TBC1D10C",-1.0716401228265,2.98993146334215,"TBC1D10C","Module10","#2b9b81","other",0.240628203691077
"POLD4",0.401632916037637,5.2468935242705,"POLD4","Module10","#2b9b81","other",0.304668929683956
"DRAP1",1.75370712191303,2.52132737551256,"DRAP1","Module10","#2b9b81","other",0.146632607097572
"UCP2",-1.40827827542583,2.81186067972704,"UCP2","Module7","#9f5691","hub",0.836354145922417
